,0
ASH1L-AS1,True
ASH2L,True
ASIC1,True
ASIC2,True
ASIC3,True
ASIC4,True
ASIC5,False
ASIP,True
ASL,True
ASNA1,True
ASNS,True
ASNSD1,True
ASPA,True
ASPDH,True
ASPG,True
ASPH,True
ASPHD1,True
ASPHD2,True
ASPM,True
ASPN,True
ASPRV1,True
ASPSCR1,True
ASRGL1,True
ASS1,True
ASTE1,True
ASTL,True
ASTN1,True
ASTN2,True
ASUN,True
ASXL1,True
ASXL2,True
ASXL3,True
ASZ1,False
ATAD1,True
ATAD2,True
ATAD2B,True
ATAD3A,True
ATAD3B,True
ATAD3C,False
ATAD5,True
ATAT1,True
ATCAY,True
ATE1,True
ATF1,True
ATF2,True
ATF3,True
ATF4,True
ATF5,True
ATF6,True
ATF6B,True
ATF7,True
ATF7IP,True
ATF7IP2,True
ATG10,True
ATG12,True
ATG13,True
ATG14,True
ATG16L1,True
ATG16L2,True
ATG2A,True
ATG2B,True
ATG3,True
ATG4B,True
ATG4C,True
ATG4D,True
ATG5,True
ATG7,True
ATG9A,True
ATG9B,True
ATHL1,True
ATIC,True
ATL1,True
ATL2,True
ATL3,True
ATM,True
ATMIN,True
ATN1,True
ATOH1,False
ATOH7,True
ATOH8,True
ATOX1,True
ATP10A,True
ATP10B,False
ATP10D,True
ATP11A,True
ATP11B,True
ATP12A,True
ATP13A1,True
ATP13A2,True
ATP13A3,True
ATP13A4,False
ATP13A5,False
ATP1A1,True
ATP1A1OS,True
ATP1A2,True
ATP1A3,True
ATP1A4,True
ATP1B1,True
ATP1B2,True
ATP1B3,True
ATP2A1,True
ATP2A2,True
ATP2A3,True
ATP2B1,False
ATP2B2,True
ATP2B4,True
ATP2C1,True
ATP2C2,False
ATP4A,False
ATP4B,False
ATP5A1,True
ATP5B,True
ATP5C1,True
ATP5D,True
ATP5E,True
ATP5EP2,False
ATP5F1,True
ATP5G1,True
ATP5G2,True
ATP5G3,True
ATP5H,True
ATP5I,True
ATP5J,False
ATP5J2,True
ATP5J2-PTCD1,True
ATP5L,True
ATP5L2,True
ATP5O,True
ATP5S,True
ATP5SL,True
ATP6AP1L,True
ATP6V0A1,True
ATP6V0A2,True
ATP6V0A4,True
ATP6V0B,True
ATP6V0C,True
ATP6V0CP3,True
ATP6V0D1,True
ATP6V0D2,True
ATP6V0E1,True
ATP6V0E2,True
ATP6V0E2-AS1,True
ATP6V1A,True
ATP6V1B1,True
ATP6V1B2,True
ATP6V1C1,True
ATP6V1C2,True
ATP6V1D,True
ATP6V1E1,True
ATP6V1E2,True
ATP6V1F,True
ATP6V1G1,True
ATP6V1G2,True
ATP6V1G2-DDX39B,True
ATP6V1G3,False
ATP6V1H,True
ATP7B,True
ATP8A1,True
ATP8A2,True
ATP8B1,True
ATP8B2,True
ATP8B3,True
ATP8B4,True
ATP8B5P,True
ATP9A,True
ATP9B,True
ATPAF1,True
ATPAF2,True
ATPIF1,True
ATR,True
ATRAID,True
ATRIP,True
ATRN,True
ATRNL1,True
ATXN1,True
ATXN10,True
ATXN1L,True
ATXN2,True
ATXN2L,True
ATXN3,True
ATXN7,True
ATXN7L1,True
ATXN7L2,True
ATXN7L3,True
ATXN7L3B,True
ATXN8OS,False
AUH,True
AUNIP,True
AUP1,True
AURKA,True
AURKAIP1,True
AURKAPS1,True
AURKB,True
AURKC,False
AUTS2,True
AVEN,True
AVIL,True
AVL9,True
AVP,True
AVPI1,True
AVPR1A,True
AVPR1B,True
AXDND1,True
AXIN1,True
AXIN2,True
AXL,True
AZGP1,True
AZGP1P1,True
AZI1,True
AZI2,True
AZIN1,True
AZU1,True
B2M,True
B3GALNT1,True
B3GALNT2,True
B3GALT1,False
B3GALT2,True
B3GALT4,False
B3GALT5,True
B3GALT6,True
B3GALTL,True
B3GAT1,False
B3GAT2,True
B3GAT3,True
B3GNT1,True
B3GNT2,True
B3GNT3,True
B3GNT4,True
B3GNT5,True
